1	36	4, 41, 1068839, 1070378, 1071528, 1072432, 1073573, 1074231, 1076388, 1077380, 1077780, 1079265, 1080108, 1080611, 1080932, 1082289, 1085706, 1085826, 1085889, 1085906, 1087247, 1087294, 1088623, 1088950, 1089175, 1090105, 1092543, 1092617, 1092686, 1092770, 1093042, 1094407, 1094605, 1094611, 1094612, 1106251
2	8	72, 117, 140, 157, 197, 210, 242, 528
3	18	91, 249, 289, 329, 341, 349, 367, 21768, 28073, 123822, 328080, 1140996, 1141886, 1143893, 1143894, 1143896, 1143920, 1143921
4	9	101, 404, 407, 442, 455, 461, 480, 481, 511
5	5	124, 515, 31627, 58617, 59454
6	13	168, 530, 572, 608, 643, 688, 691, 701, 727, 728, 743, 765, 790
7	8	204, 796, 811, 29532, 58343, 1085810, 1099819, 1099857
8	10	362, 1143907, 1143909, 1143910, 1143911, 1143912, 1143913, 1143914, 1143915, 1143916
9	22	390, 1141689, 1141838, 1141858, 1141859, 1141860, 1141861, 1141862, 1141863, 1141864, 1141865, 1141866, 1141867, 1141868, 1141869, 1141874, 1141875, 1141876, 1141877, 1141878, 1141879, 1141887
10	9	826, 845, 848, 850, 866, 875, 881, 884, 888
11	42	908, 913, 998, 18367, 18397, 18403, 18410, 18731, 18825, 18884, 19129, 19684, 19903, 20203, 20721, 21409, 22088, 22578, 22581, 22614, 23529, 23926, 24021, 24481, 24679, 25137, 25159, 25973, 27095, 27214, 27235, 27409, 27846, 28639, 28808, 29041, 29525, 31768, 33267, 46152, 46990, 52123
12	3	1019, 1024, 1100
13	7	1108, 1150, 1177, 1365, 1412, 1605, 1840
14	8	2050, 2059, 2173, 2234, 2824, 2856, 2932, 3018
15	3	2106, 1143212, 1143897
16	40	3218, 3275, 3338, 3341, 3478, 3797, 4140, 4483, 4775, 4890, 5296, 5426, 5435, 5547, 5716, 6216, 6358, 6470, 6752, 6762, 6935, 7241, 7390, 7419, 7683, 8565, 8665, 8868, 8988, 9026, 9121, 9451, 9735, 9800, 9805, 9881, 9884, 10002, 14717, 18177
17	5	6332, 11861, 11985, 11989, 13165
18	9	6559, 9212, 13311, 13568, 13805, 14036, 14691, 18085, 18142
19	8	7778, 16116, 16229, 16945, 17257, 17362, 17394, 17966
20	25	7807, 18620, 40469, 42258, 74439, 74496, 75838, 75944, 76591, 79375, 81597, 82008, 85027, 86869, 89427, 98248, 101516, 124209, 126609, 129441, 154111, 154666, 156860, 1105821, 1143186
21	4	18196, 18252, 18334, 18349
22	6	18563, 33742, 33750, 36935, 39930, 40404
23	5	20088, 42960, 43351, 43693, 43735
24	4	20365, 43815, 44536, 44936
25	4	23404, 1143176, 1143177, 1143178
26	3	29440, 50708, 51893
27	6	32554, 60920, 61921, 62953, 63832, 69442
28	2	70527, 71290
29	37	87327, 131307, 158408, 166153, 166278, 166652, 166881, 169124, 169421, 170082, 170929, 174074, 182563, 184438, 184739, 186114, 186137, 186844, 189128, 194129, 195080, 197170, 199922, 200395, 200438, 204802, 204885, 212421, 214365, 215666, 218551, 222241, 226686, 259688, 269349, 274922, 1131316
30	10	100263, 132892, 137861, 140267, 140741, 147144, 152796, 667478, 1104100, 1143175
31	6	102938, 1141928, 1141929, 1141930, 1141931, 1141932
32	46	129279, 1105740, 1107954, 1107996, 1108453, 1110675, 1111831, 1112549, 1112563, 1112659, 1112675, 1112725, 1113745, 1113981, 1114679, 1116097, 1116392, 1116639, 1116685, 1116867, 1117118, 1117864, 1118135, 1118352, 1118395, 1118594, 1118970, 1120188, 1120460, 1120542, 1120568, 1120664, 1120669, 1121708, 1122485, 1122488, 1122544, 1122754, 1125010, 1125120, 1125502, 1125619, 1126075, 1127574, 1127614, 1130609
33	3	158639, 227688, 231694
34	5	181045, 239092, 243946, 252214, 254021
35	4	217942, 280330, 280651, 283956
36	6	225518, 285804, 291629, 298487, 306194, 313482
37	6	263979, 1142085, 1142086, 1142132, 1142136, 1142276
38	5	272087, 1143218, 1143219, 1143220, 1143221
39	70	313032, 337205, 354388, 355519, 358663, 359086, 365051, 378972, 389339, 389496, 391444, 391535, 394678, 399183, 407232, 428588, 435282, 438828, 444741, 447394, 464605, 466178, 476284, 477920, 478985, 482709, 490456, 504387, 506357, 506819, 509277, 515984, 521405, 547378, 557462, 588071, 589247, 597954, 607558, 622231, 638427, 644803, 648817, 650848, 650911, 655638, 656057, 656063, 662617, 663532, 663560, 663606, 663663, 663715, 663723, 663931, 663950, 663979, 664081, 664221, 664255, 664299, 664320, 664330, 664349, 664455, 664517, 664629, 664639, 664661
40	176	329291, 664765, 664789, 664845, 664920, 665014, 665055, 665443, 665613, 665743, 665990, 666374, 666560, 666572, 666596, 666737, 666986, 667023, 667263, 667277, 667403, 667456, 667463, 667488, 667812, 667887, 668660, 669549, 669654, 670202, 670322, 670481, 670639, 670649, 671006, 671440, 672204, 672343, 672880, 673498, 674430, 675770, 676650, 676711, 676723, 676909, 676926, 681260, 681488, 682465, 686731, 688400, 689600, 695535, 697134, 697582, 701240, 701267, 701898, 704422, 704436, 704928, 705717, 705719, 706422, 709152, 709262, 714608, 720024, 720693, 723328, 723395, 724205, 725755, 727700, 730182, 733112, 734077, 735374, 735944, 745759, 747026, 748886, 751370, 753479, 758406, 758685, 761025, 762616, 785744, 791724, 794822, 807014, 811285, 812835, 814666, 815527, 820236, 825882, 828860, 840747, 866216, 866318, 866648, 866827, 866872, 868264, 868711, 878735, 883066, 895251, 897700, 899409, 900762, 901233, 902578, 903601, 906106, 906302, 906304, 912179, 912796, 917252, 919601, 920054, 946003, 948314, 960231, 974573, 995046, 999263, 1004865, 1014427, 1014440, 1015046, 1024501, 1024504, 1024683, 1025433, 1025505, 1026123, 1029059, 1032030, 1032105, 1034018, 1034020, 1036041, 1036342, 1037453, 1041296, 1041372, 1042369, 1044954, 1046233, 1046810, 1048438, 1049976, 1051054, 1051978, 1056829, 1057704, 1061572, 1061710, 1061923, 1062778, 1063690, 1063925, 1066988, 1067001, 1067222, 1067387, 1067598, 1067834, 1127615, 1127791, 1143908
41	7	398727, 1139836, 1141880, 1141881, 1141882, 1141883, 1141884
42	4	665000, 1143197, 1143203, 1143205
43	8	669695, 1143195, 1143196, 1143198, 1143199, 1143200, 1143201, 1143202
44	8	1078818, 1095536, 1143213, 1143214, 1143215, 1143216, 1143217, 1143222
45	6	1092601, 1096251, 1096641, 1097440, 1098096, 1099803
46	6	1094609, 1099875, 1102143, 1103628, 1103762, 1104087
